SAPCE1 Personal consumption expenditures (PCE) by major type of product 1
SAPCE1 Personal consumption expenditures (PCE) by major type of product 1
State or DC
GeoFips,GeoName,LineCode,Description,2023
00000,United States,1,Personal consumption expenditures,18822768.8
00000,United States,2,"  Goods",6123912.4
00000,United States,3,"    Durable goods",2142619.4
00000,United States,4,"      Motor vehicles and parts",749975.3
00000,United States,5,"      Furnishings and durable household equipment",480395.8
00000,United States,6,"      Recreational goods and vehicles",635836.8
00000,United States,7,"      Other durable goods",276411.5
00000,United States,8,"    Nondurable goods",3981293.0
00000,United States,9,"      Food and beverages purchased for off-premises consumption",1444010.9
00000,United States,10,"      Clothing and footwear",510121.3
00000,United States,11,"      Gasoline and other energy goods",467154.8
00000,United States,12,"      Other nondurable goods",1560006.0
00000,United States,13,"  Services",12698856.4
00000,United States,14,"    Household consumption expenditures (for services)",12144789.8
00000,United States,15,"      Housing and utilities",3347708.0
00000,United States,16,"      Health care",3057648.0
00000,United States,17,"      Transportation services",616899.5
00000,United States,18,"      Recreation services",739312.5
00000,United States,19,"      Food services and accommodations",1364438.5
00000,United States,20,"      Financial services and insurance",1436274.5
00000,United States,21,"      Other services",1582508.8
00000,United States,22,"    Final consumption expenditures of nonprofit institutions serving households (NPISHs)",554066.6
00000,United States,23,"      Gross output of nonprofit institutions",2039891.2
00000,United States,24,"      Less: Receipts from sales of goods and services by nonprofit institutions",1485824.6
01000,Alabama,1,Personal consumption expenditures,227475.0
01000,Alabama,2,"  Goods",85488.2
01000,Alabama,3,"    Durable goods",28255.8
01000,Alabama,4,"      Motor vehicles and parts",12273.7
01000,Alabama,5,"      Furnishings and durable household equipment",6187.5
01000,Alabama,6,"      Recreational goods and vehicles",6548.7
01000,Alabama,7,"      Other durable goods",3245.9
01000,Alabama,8,"    Nondurable goods",57232.4
01000,Alabama,9,"      Food and beverages purchased for off-premises consumption",19581.4
01000,Alabama,10,"      Clothing and footwear",6646.4
01000,Alabama,11,"      Gasoline and other energy goods",7672.9
01000,Alabama,12,"      Other nondurable goods",23331.8
01000,Alabama,13,"  Services",141986.8
01000,Alabama,14,"    Household consumption expenditures (for services)",138839.9
01000,Alabama,15,"      Housing and utilities",36873.8
01000,Alabama,16,"      Health care",38340.2
01000,Alabama,17,"      Transportation services",5482.9
01000,Alabama,18,"      Recreation services",6855.8
01000,Alabama,19,"      Food services and accommodations",16524.8
