State abbreviation,Sum_of_Libary_Staff
California,5076
Texas,4466
New York,4331
Massachusetts,2717
Florida,2566
Pennsylvania,2359
North Carolina,2117
Illinois,1822
Virginia,1673
Michigan,1599
Georgia,1575
Ohio,1526
Indiana,1273
Tennessee,1151
New Jersey,1134
Connecticut,1026
Utah,903
Washington,866
Maryland,857
Minnesota,761
Wisconsin,759
Missouri,758
Alabama,753
District of Columbia,677
Colorado,671
Louisiana,617
South Carolina,598
Arizona,554
Kentucky,544
Oregon,541
Oklahoma,523
Iowa,472
Kansas,466
Mississippi,423
Rhode Island,339
Nevada,321
Nebraska,311
Maine,268
Arkansas,263
New Mexico,254
New Hampshire,230
Idaho,205
West Virginia,197
Delaware,165
Hawaii,156
Vermont,129
Montana,106
North Dakota,104
Wyoming,71
South Dakota,62
Alaska,62
