State abbreviation,Avg_Salary
California,66292
Maryland,64189
Delaware,62121
New Jersey,61356
Connecticut,60286
New York,58830
Vermont,57282
Oregon,57109
Massachusetts,57029
Iowa,55997
Illinois,55289
Arizona,53476
Pennsylvania,53324
Minnesota,53228
District of Columbia,53066
Washington,52237
South Dakota,52161
Hawaii,51094
New Hampshire,49753
Michigan,49696
Nebraska,49505
North Dakota,49058
Montana,48694
Colorado,48677
Alaska,48309
Wisconsin,47927
Nevada,47579
Idaho,47476
South Carolina,47451
Rhode Island,46771
Ohio,46457
West Virginia,45888
Virginia,45852
Maine,45464
Missouri,44621
North Carolina,43867
Georgia,42850
Indiana,42737
Texas,42234
Florida,41182
Wyoming,40978
Kansas,40885
Tennessee,40869
Utah,40683
Alabama,39148
Arkansas,38820
Mississippi,38168
New Mexico,38121
Kentucky,37963
Louisiana,36734
Oklahoma,36131
